Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1580,598,26000.0,20819.84898327153,1.087469999674795,36163.09219100003,7987.969620253165,8.823151001286861,3.3393951258035086,26000,29000,30000,31000,33000,34000,34000,35000,36000,36000,36000
GET,/cart,1790,831,5600.0,5216.800458764233,1.1503650002850918,18287.494993999644,6583.541899441341,9.995848286268027,4.640530684854039,5600,7600,8500,9100,11000,13000,14000,15000,18000,18000,18000
POST,/cart,1714,931,7500.0,6769.376330791131,1.0840829995686363,18737.449522000134,8579.035005834307,9.571443554560558,5.198957963416499,7500,11000,12000,13000,14000,16000,17000,18000,19000,19000,19000
POST,/cart/checkout,533,338,1100.0,3531.3810247992433,1.9669389998853148,17259.564027000124,3369.8611632270167,2.9764173947379096,1.8874842015411135,1100,6100,7100,7800,9100,11000,12000,16000,17000,17000,17000
GET,/product/0PUK6V6EV0,894,405,6500.0,6125.321495323264,1.155103000201052,21625.359495999874,5100.397091722595,4.992339870348389,2.2616304781779615,6500,8600,9400,10000,12000,17000,19000,20000,22000,22000,22000
GET,/product/1YMWWN1N4O,831,382,6300.0,6149.088888978349,1.1259279999649152,22288.205795000067,4976.154031287605,4.640530684854039,2.1331922041085956,6300,8300,9400,10000,13000,17000,19000,20000,22000,22000,22000
GET,/product/2ZYFJ3GM2N,852,386,6400.0,5843.355554394374,1.1794729998655384,22079.596950999985,5049.326291079812,4.757800413352156,2.1555292952510943,6400,8200,9100,9500,11000,16000,19000,20000,22000,22000,22000
GET,/product/66VCHSJNUP,855,399,6400.0,5990.639318166098,1.2226689996168716,22790.602278999813,4966.60701754386,4.77455323170903,2.228124841464214,6400,8000,9100,10000,12000,16000,19000,21000,23000,23000,23000
GET,/product/6E92ZMYYFZ,828,374,6500.0,6116.134045365948,1.029069000196614,22415.631201999986,5021.048309178744,4.623777866497166,2.088518021823599,6500,8500,9400,10000,13000,17000,19000,20000,22000,22000,22000
GET,/product/9SIQT8TOJO,875,416,6200.0,5724.33203907543,1.0360330002185947,23440.61347099978,4881.713142857143,4.886238687421522,2.323057478819832,6200,7900,8900,9500,12000,16000,19000,20000,23000,23000,23000
GET,/product/L9ECAV7KIM,838,377,6400.0,5868.156427523882,1.1501809999572288,23237.817265000103,5067.139618138425,4.679620594353412,2.1052708401804727,6400,8100,9100,9700,12000,16000,19000,20000,23000,23000,23000
GET,/product/LS4PSXUNUM,854,388,6300.0,6141.083063836052,1.151154000126553,22227.64853999979,4992.8981264637005,4.768968958923405,2.1666978408223434,6300,8500,9500,10000,13000,17000,19000,20000,22000,22000,22000
GET,/product/OLJCESPC7Z,880,393,6500.0,6008.331939403421,1.008142000046064,24797.281900000144,4973.925,4.914160051349644,2.1946192047504662,6500,8300,9400,10000,13000,17000,19000,20000,25000,25000,25000
POST,/setCurrency,1133,600,8700.0,8939.315343932925,1.0851609999917855,32664.69453899981,5880.570167696381,6.326981066112667,3.3505636713747577,8700,12000,14000,15000,22000,27000,30000,30000,32000,33000,33000
,Aggregated,14457,6818,6900.0,7750.941627085369,1.008142000046064,36163.09219100003,5957.557792073044,80.73183166177479,38.0735718523885,6900,9200,11000,12000,17000,28000,31000,33000,35000,36000,36000
