Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2345,2334,1600.0,4106.574176920691,0.8875650000277346,26125.562383000015,109.6268656716418,13.11147274311451,13.049969033018877,1600,6100,8300,9400,12000,13000,13000,13000,26000,26000,26000
GET,/cart,4034,3971,2,1216.5691879157173,0.8492399999795452,15249.426344000029,141.6011403073872,22.555087865980354,22.202839344523547,2,3,3,4,6700,10000,12000,12000,15000,15000,15000
POST,/cart,4048,4048,2,131.4081675417497,0.8911920000116424,11238.763130999985,32.46615612648221,22.63336531519298,22.63336531519298,2,2,2,2,160,730,1100,1300,10000,11000,11000
POST,/cart/checkout,1275,1275,3,11.827818164705793,1.0602489999769205,1225.8760080000002,25.22901960784314,7.128839124721109,7.128839124721109,3,3,4,4,21,62,100,130,730,1200,1200
GET,/product/0PUK6V6EV0,1896,1876,2,1369.7727095295352,0.9059839999849828,26056.163578999985,115.65137130801688,10.601003121938215,10.489178194491608,2,3,3,4,7100,10000,12000,18000,26000,26000,26000
GET,/product/1YMWWN1N4O,1878,1864,2,1240.174157176252,0.9566899999811085,26042.65259899998,90.23642172523962,10.500360687236268,10.422083238023644,2,3,3,3,6500,10000,12000,13000,26000,26000,26000
GET,/product/2ZYFJ3GM2N,1928,1908,2,1340.3036196758299,0.8942889999730141,26228.235832000024,114.47458506224066,10.779923005852783,10.668098078406178,2,3,3,4,7200,11000,12000,13000,26000,26000,26000
GET,/product/66VCHSJNUP,1953,1932,2,1228.0374118694297,0.9005459999684717,25931.92148999998,116.44956477214542,10.91970416516104,10.802287991342103,2,3,3,4,6500,10000,12000,13000,26000,26000,26000
GET,/product/6E92ZMYYFZ,1931,1910,2,1239.5026506437086,0.9588359999952445,26111.37837399997,116.96478508544796,10.796696744969774,10.679280571150837,2,3,3,4,6400,10000,12000,13000,26000,26000,26000
GET,/product/9SIQT8TOJO,1872,1853,2,1330.1631529348306,0.8132530000182214,26288.60630600002,113.11324786324786,10.466813209002288,10.360579527928012,2,3,3,4,6900,10000,12000,13000,26000,26000,26000
GET,/product/L9ECAV7KIM,1933,1910,2,1276.7528525587147,0.9000129999776618,26289.34796599998,126.0993274702535,10.807879237714435,10.679280571150837,2,3,3,4,6500,10000,12000,13000,26000,26000,26000
GET,/product/LS4PSXUNUM,1867,1846,2,1200.0449109716124,0.8833300000219424,26057.452343999983,119.74665238350295,10.438856977140636,10.3214408033217,2,3,3,4,6400,10000,12000,13000,26000,26000,26000
GET,/product/OLJCESPC7Z,1865,1849,2,1189.7016059281489,0.8910980000109703,24948.320365,99.65254691689007,10.427674484395975,10.33821454243869,2,3,3,4,6600,10000,12000,12000,25000,25000,25000
POST,/setCurrency,2592,2592,2,1127.9848198410486,1.0297329999957583,12996.970201000011,32.90547839506173,14.49251059708009,14.49251059708009,2,3,3,4,6400,9600,11000,12000,13000,13000,13000
,Aggregated,31417,31168,2,1264.528699411525,0.8132530000182214,26289.34796599998,95.64321863959003,175.66018727950046,174.26796693279022,2,3,3,4,6600,10000,12000,13000,26000,26000,26000
