Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2324,2310,3800.0,4149.866315058949,0.7901700000161327,25887.741231000036,124.28399311531841,12.999024962691404,12.920717583398082,3800,6100,8300,9400,12000,13000,13000,13000,25000,26000,26000
GET,/cart,3997,3928,2,1162.19209650788,0.6889130000331534,15246.236836999999,151.6569927445584,22.35675678824335,21.970813276011977,2,2,3,3,6100,11000,12000,13000,15000,15000,15000
POST,/cart,3875,3875,1,135.61974437006452,0.7634789999997338,11095.761056000014,34.347096774193545,21.6743639115444,21.6743639115444,1,1,2,2,220,760,1100,1300,9500,11000,11000
POST,/cart/checkout,1311,1311,3,11.71731446910843,1.0614489999909438,1187.4745169999983,26.82608695652174,7.3329267323960545,7.3329267323960545,3,3,3,3,16,60,98,160,730,1200,1200
GET,/product/0PUK6V6EV0,1867,1846,2,1415.5868469057289,0.7534619999773895,26085.58502599999,121.16175682913766,10.442848367187974,10.32538729824799,2,2,3,3,7700,11000,12000,13000,26000,26000,26000
GET,/product/1YMWWN1N4O,1943,1923,2,1277.203255097275,0.809612000011839,26287.763479000034,112.46474523932064,10.867945569066006,10.756077884361261,2,2,3,3,6300,10000,12000,13000,26000,26000,26000
GET,/product/2ZYFJ3GM2N,1900,1879,2,1374.8556029294725,0.7894029999988561,26036.923025000022,118.89894736842105,10.627430046950803,10.509968978010821,2,2,3,3,7100,11000,12000,14000,26000,26000,26000
GET,/product/66VCHSJNUP,1922,1897,2,1418.1875905978156,0.7760400000051959,26289.727180999987,135.8761706555671,10.750484500126023,10.610649894245093,2,2,3,3,7600,11000,12000,13000,26000,26000,26000
GET,/product/6E92ZMYYFZ,1916,1885,2,1386.7225921795398,0.8207930000025954,26289.668516000005,158.03653444676408,10.7169241947146,10.543529283422245,2,2,3,3,7900,11000,12000,13000,26000,26000,26000
GET,/product/9SIQT8TOJO,1848,1825,2,1427.4554248528182,0.7539090000250326,25936.937567,131.3598484848485,10.336574066718466,10.20792622930801,2,2,3,3,7900,10000,12000,13000,26000,26000,26000
GET,/product/L9ECAV7KIM,1888,1869,2,1335.7029881615422,0.6851289999758592,26289.367898000022,112.8177966101695,10.560309436127957,10.454035135658449,2,2,3,3,7300,10000,12000,13000,26000,26000,26000
GET,/product/LS4PSXUNUM,1924,1905,2,1291.2362898394008,0.7540949999906843,25929.468098,109.5010395010395,10.761671268596498,10.65539696812699,2,2,3,3,6800,11000,12000,13000,26000,26000,26000
GET,/product/OLJCESPC7Z,1834,1810,2,1244.205818145582,0.7272019999504664,26234.494892999977,135.16630316248637,10.258266687425143,10.12402546577945,2,2,3,3,6100,10000,12000,13000,26000,26000,26000
POST,/setCurrency,2613,2613,2,1101.1503156257186,0.8802689999924951,12963.738767999985,31.51396861844623,14.615513006674973,14.615513006674973,2,2,3,3,6400,9300,11000,12000,13000,13000,13000
,Aggregated,31162,30876,2,1307.7841928443856,0.6851289999758592,26289.727180999987,105.72283550478147,174.30103953846364,172.70133164718578,2,2,3,4,6900,10000,12000,13000,26000,26000,26000
